Project_name,Tool_name,CWE_ID,Number_of_Findings,Is_In_CWE_Top_25?
repo_1,cppcheck,CWE-788,5,No
repo_1,cppcheck,CWE-476,25,Yes
repo_1,cppcheck,CWE-682,2,No
repo_1,cppcheck,CWE-398,44,No
repo_1,cppcheck,CWE-562,3,No
repo_1,cppcheck,CWE-758,5,No
repo_1,cppcheck,CWE-401,2,No
repo_1,cppcheck,CWE-467,1,No
repo_1,cppcheck,CWE-190,1,Yes
repo_1,cppcheck,CWE-195,1,No
repo_1,cppcheck,CWE-457,11,No
repo_1,cppcheck,CWE-683,1,No
repo_1,cppcheck,CWE-672,1,No
repo_1,flawfinder,CWE-362,113,No
repo_1,flawfinder,CWE-20,32,Yes
repo_1,flawfinder,CWE-367,5,No
repo_1,flawfinder,CWE-78,8,Yes
repo_1,flawfinder,CWE-134,32,No
repo_1,flawfinder,CWE-120,685,No
repo_1,flawfinder,CWE-807,17,No
repo_1,flawfinder,CWE-829,1,No
repo_1,flawfinder,CWE-327,2,No
repo_1,flawfinder,CWE-119,204,Yes
repo_1,flawfinder,CWE-190,9,Yes
repo_1,flawfinder,CWE-126,183,No
repo_1,flawfinder,CWE-676,4,No
repo_2,cppcheck,CWE-682,1,No
repo_2,cppcheck,CWE-758,1,No
repo_2,cppcheck,CWE-398,8,No
repo_2,cppcheck,CWE-664,1,No
repo_2,cppcheck,CWE-476,2,Yes
repo_2,flawfinder,CWE-134,17,No
repo_2,flawfinder,CWE-120,62,No
repo_2,flawfinder,CWE-807,1,No
repo_2,flawfinder,CWE-20,4,Yes
repo_2,flawfinder,CWE-119,32,Yes
repo_2,flawfinder,CWE-362,9,No
repo_2,flawfinder,CWE-190,8,Yes
repo_2,flawfinder,CWE-126,27,No
repo_3,cppcheck,CWE-401,46,No
repo_3,cppcheck,CWE-476,229,Yes
repo_3,cppcheck,CWE-457,49,No
repo_3,cppcheck,CWE-686,8,No
repo_3,cppcheck,CWE-682,1,No
repo_3,flawfinder,CWE-362,4,No
repo_3,flawfinder,CWE-134,7,No
repo_3,flawfinder,CWE-78,1,Yes
repo_3,flawfinder,CWE-120,69,No
repo_3,flawfinder,CWE-785,1,No
repo_3,flawfinder,CWE-807,5,No
repo_3,flawfinder,CWE-20,7,Yes
repo_3,flawfinder,CWE-119,41,Yes
repo_3,flawfinder,CWE-190,1,Yes
repo_3,flawfinder,CWE-126,62,No
repo_3,flawfinder,CWE-676,2,No
